Size,Time (seconds)
1000,3.92e-05
3000,0.0001186
5000,0.0002003
7000,0.0002809
9000,0.0003818
11000,0.0004403
13000,0.0005236
15000,0.0006294
17000,0.0006802
19000,0.0007691
