Size,Time (seconds)
1000,1.64e-05
3000,4.59e-05
5000,7.61e-05
7000,0.0001068
9000,0.0001364
11000,0.0001655
13000,0.0001954
15000,0.0002266
17000,0.0002567
19000,0.0002787
